Name,Size,Type,CR,AC,HP,Speeds,Align.,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,Additional,Font,Author
Almiraj,Small,Beast,0.00,13,3,50,U,2,16,10,2,14,10,None,"Perception, Stealth",None,"Darkvision 30, tremorsense 60",None,"Keen Hearing, Keen Sight",Tomb of Annihilation,Wizards of the Coast
Chwinga,Tiny,Elemental,0.00,15,5,"20, climb 20, swim 20",N,1,20,10,14,16,16,None,"Acrobatics, Perception, Stealth",None,Blindsight 60,None,"Evasion, Innate Spellcasting",Tomb of Annihilation,Wizards of the Coast
Cranium Rat,Tiny,Beast,0.00,12,2,30,LE,2,14,10,4,11,8,None,None,None,"Darkvision 30, tremorsense 60",Telepathy 30,"Illumination, Telepathic Shroud",Volo's Guide to Monsters,Wizards of the Coast
Crawling Claw,Tiny,Undead,0.00,12,2,"20, climb 20",NE,13,14,11,5,10,4,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Blindsight 30,Common,Turn Immunity,Monster Manual,Wizards of the Coast
"Devil, Lemure",Medium,Fiend (Devil),0.00,7,13,15,LE,10,5,11,1,11,3,None,None,"Coldres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Infernal,"Devil's Sight, Hellish Rejuvenation",Monster Manual,Wizards of the Coast
Flying Monkey,Small,Beast,0.00,12,3,"20, climb 20, fly 30",U,8,14,11,5,12,6,None,None,None,Normal,None,Pack Tactics,Tomb of Annihilation,Wizards of the Coast
"Fungus, Shrieker",Medium,Plant,0.00,5,13,None,U,1,1,10,1,10,3,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,False Appearance,Monster Manual,Wizards of the Coast
Giant Fly,Large,Beast,0.00,11,19,"30, fly 60",U,14,13,13,2,10,3,None,None,None,Darkvision 60,None,None,Dungeon Master's Guide,Wizards of the Coast
Homunculus,Tiny,Construct,0.00,13,5,"20, fly 40",N,4,15,11,10,10,7,None,None,"Poisonimmu, charmedimmu, poisonedimmu",Darkvision 60,Creator,Telepathic Bond,Monster Manual,Wizards of the Coast
"Misc. Creature, Awakened Shrub",Small,Plant,0.00,9,10,20,U,3,8,11,10,10,6,None,None,"Fireweak, piercingres",Normal,Creator,False Appearance,Monster Manual,Wizards of the Coast
"Misc. Creature, Baboon",Small,Beast,0.00,12,3,"30, climb 30",U,8,14,11,4,12,6,None,None,None,Normal,None,Pack Tactics,Monster Manual,Wizards of the Coast
"Misc. Creature, Badger",Tiny,Beast,0.00,10,3,"20, burrow 5",U,4,11,12,2,12,5,None,None,None,Darkvision 30,None,Keen Smell,Monster Manual,Wizards of the Coast
"Misc. Creature, Bat",Tiny,Beast,0.00,12,1,"5, fly 30",U,2,15,8,2,12,4,None,None,None,Blindsight 60,None,"Echolocation, Keen Hearing",Monster Manual,Wizards of the Coast
"Misc. Creature, Cat",Tiny,Beast,0.00,12,2,"40, climb 30",U,3,15,10,3,12,7,None,"Perception, Stealth",None,Normal,None,Keen Smell,Monster Manual,Wizards of the Coast
"Misc. Creature, Crab",Tiny,Beast,0.00,11,2,"20, swim 20",U,2,11,10,1,8,2,None,Stealth,None,Blindsight 30,None,Amphibious,Monster Manual,Wizards of the Coast
"Misc. Creature, Deer",Medium,Beast,0.00,13,4,50,U,11,16,11,2,14,5,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Eagle",Small,Beast,0.00,12,3,"10, fly 60",U,6,15,10,2,14,7,None,Perception,None,Normal,None,Keen Sight,Monster Manual,Wizards of the Coast
"Misc. Creature, Frog",Tiny,Beast,0.00,11,1,"20, swim 20",U,1,13,8,1,8,3,None,"Perception, Stealth",None,Darkvision 30,None,"Amphibious, Standing Leap",Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Fire Beetle",small,Beast,0.00,13,4,30,U,8,10,12,1,7,3,None,None,None,Blindsight 30,None,Illumination,Monster Manual,Wizards of the Coast
"Misc. Creature, Goat",Medium,Beast,0.00,10,4,40,U,12,10,11,2,10,5,None,None,None,Normal,None,"Charge, Sure-Footed",Monster Manual,Wizards of the Coast
"Misc. Creature, Hawk",Tiny,Beast,0.00,13,1,"10, fly 60",U,5,16,8,2,14,6,None,Perception,None,Normal,None,Keen Sight,Monster Manual,Wizards of the Coast
"Misc. Creature, Hyena",Medium,Beast,0.00,11,5,50,U,11,13,12,2,12,5,None,Perception,None,Normal,None,Pack Tactics,Monster Manual,Wizards of the Coast
"Misc. Creature, Jackal",Small,Beast,0.00,12,3,40,U,8,15,11,3,12,6,None,Perception,None,Normal,None,"Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,Wizards of the Coast
"Misc. Creature, Lizard",Tiny,Beast,0.00,10,2,"20, climb 20",U,2,11,10,1,8,3,None,None,None,Darkvision 30,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Octopus",Small,Beast,0.00,12,3,"5, swim 30",U,4,15,11,3,10,4,None,"Perception, Stealth",None,Darkvision 30,None,"Hold Breath, Underwater Camouflage, Water Breathing",Monster Manual,Wizards of the Coast
"Misc. Creature, Owl",Tiny,Beast,0.00,11,1,"5, fly 60",U,3,13,8,2,12,7,None,"Perception, Stealth",None,Darkvision 120,None,"FLyby, Keen Hearing, Keen Sight",Monster Manual,Wizards of the Coast
"Misc. Creature, Quipper",Tiny,Beast,0.00,13,1,swim 40,U,2,16,9,1,7,2,None,None,None,Darkvision 60,None,"Blood Frenzy, Water Breathing",Monster Manual,Wizards of the Coast
"Misc. Creature, Rat",Tiny,Beast,0.00,10,1,20,U,2,11,9,2,10,4,None,None,None,Darkvision 30,None,Keen Smell,Monster Manual,Wizards of the Coast
"Misc. Creature, Raven",Tiny,Beast,0.00,12,1,"10, fly 50",U,2,14,8,2,12,6,None,Perception,None,Normal,None,Mimicry,Monster Manual,Wizards of the Coast
"Misc. Creature, Scorpion",Tiny,Beast,0.00,11,1,10,U,2,11,8,1,8,2,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Sea Horse",Tiny,Beast,0.00,11,1,swim 20,U,1,12,8,1,10,2,None,None,None,Normal,None,Water Breathing,Monster Manual,Wizards of the Coast
"Misc. Creature, Spider",Tiny,Beast,0.00,12,1,"20, climb 20",U,2,14,8,1,10,2,None,Stealth,None,Darkvision 30,None,"Spider Climb, Web Sense, Web Walker",Monster Manual,Wizards of the Coast
"Misc. Creature, Vulture",Medium,Beast,0.00,10,5,"10, fly 50",U,7,10,13,2,12,4,None,Perception,None,Normal,None,"Keen Sight, Keen Smell, Pack Tactics",Monster Manual,Wizards of the Coast
"Misc. Creature, Weasel",Tiny,Beast,0.00,13,1,30,U,3,16,8,2,12,3,None,"Perception, Stealth",None,Normal,None,"Keen Hearing, Keen Smell",Monster Manual,Wizards of the Coast
Myconid Sprout,Small,Plant,0.00,10,7,10,LN,8,10,10,8,11,5,None,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness",Monster Manual,Wizards of the Coast
"NPC, Commoner",Medium,Humanoid,0.00,10,4,30,ANY,10,10,10,10,10,10,None,None,None,Normal,Any,None,Monster Manual,Wizards of the Coast
Tressym,Tiny,Beast,0.00,12,5,"40, climb 30, fly 40",CN,3,15,10,11,12,12,None,"Perception, Stealth","Poisonimmu, poisonedimmu",Darkvision 60,Common,"Detect Invisibility, Keen Smell, Poison Sense",Storm King's Thunder,Wizards of the Coast
"Assorted Beast, Dolphin",Medium,Beast,0.13,12,11,swim 60,U,14,13,13,6,12,7,None,Perception,None,Blindsight 60,None,"Charge, Hold Breath",Volo's Guide to Monsters,Wizards of the Coast
"Blight, Twig",Small,Plant,0.13,13,4,"20, ",NE,6,13,12,4,8,3,None,Stealth,"Fireweak, blindedimmu, deafenedimmu",Blindsight 60,Common,False Appearance,Monster Manual,Wizards of the Coast
Boggle,Small,Fey,0.13,14,18,"30, climb 30",CN,8,18,13,6,12,7,None,"Perception, Sleight of Hand, Stealth",Fireres,Darkvision 60,Sylvan,"Boggle Oil, Dimensional Rift, Uncanny Smell",Volo's Guide to Monsters,Wizards of the Coast
"Demon, Manes",Small,Fiend (Demon),0.13,9,9,20,CE,10,9,13,3,8,4,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 60,Abyssal,None,Monster Manual,Wizards of the Coast
Flumph,Small,Aberration,0.13,12,7,"5, fly 30",LG,6,15,10,14,14,11,None,"Arcana, History, Religion",Psychicweak,Darkvision 60,"Undercommon, telepathy 60","Advanced Telepathy, Prone Deficiency, Telepathic Shroud",Monster Manual,Wizards of the Coast
Howling Hatred Initiate,Medium,Humanoid (Human),0.13,13,9,30,NE,10,15,10,10,9,11,None,"Deception, Religion, Stealth",None,Normal,Common,"Guiding Wind, Hold Breath",Princes of the Apocalypse,Wizards of the Coast
Kobold,Small,Humanoid,0.13,12,5,30,LE,7,15,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic","Sunlight Sensitivity, Pack Tactics",Monster Manual,Wizards of the Coast
"Kruthik, Young",Small,Monstrosity,0.13,16,9,"30, burrow 10, climb 30",U,13,16,13,4,10,6,None,None,None,"Darkvision 30, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler",Mordenkainen's Tome of Foes,Wizards of the Coast
Merfolk,Medium,Humanoid,0.13,11,11,"10, swim 40",N,10,13,12,11,11,12,None,Perception,None,Normal,"Aquan, Common",Amphibious,Monster Manual,Wizards of the Coast
"Misc. Creature, Blood Hawk",Small,Beast,0.13,12,7,"10, fly 60",U,6,14,10,3,14,5,None,Perception,None,Normal,None,"Keen Sight, Pack Tactics",Monster Manual,Wizards of the Coast
"Misc. Creature, Camel",Large,Beast,0.13,9,15,50,U,16,8,14,2,8,5,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Flying Snake",Tiny,Beast,0.13,14,5,"30, fly 60, swim 30",U,4,18,11,2,12,5,None,None,None,Blindsight 10,None,Flyby,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Crab",Medium,Beast,0.13,15,13,"30, swim 30",U,13,15,11,1,9,3,None,Stealth,None,Blindsight 30,None,Amphibious,Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Rat",Small,Beast,0.13,12,7,30,U,7,15,11,2,10,4,None,None,None,Darkvision 60,None,"Keen Smell, Pack Tactics",Monster Manual,Wizards of the Coast
"Misc. Creature, Giant Weasel",Medium,Beast,0.13,13,9,40,U,11,16,10,4,12,5,None,"Perception, Stealth",None,Darkvision 60,None,"Keen Hearing, Keen Smell",Monster Manual,Wizards of the Coast
"Misc. Creature, Mastiff",Medium,Beast,0.13,12,5,40,U,13,14,12,3,12,7,None,Perception,None,Normal,None,"Keen Hearing, Keen Smell",Monster Manual,Wizards of the Coast
"Misc. Creature, Mule",Medium,Beast,0.13,10,11,40,U,14,10,13,2,10,5,None,None,None,Normal,None,"Beast of Burden, Sure-Footed",Monster Manual,Wizards of the Coast
"Misc. Creature, Poisonous Snake",Tiny,Beast,0.13,13,13,"30, swim 30",U,2,16,11,1,10,3,None,None,None,Blindsight 10,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Pony",Medium,Beast,0.13,10,11,40,U,15,10,13,2,11,7,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Modron, Monodrone",Medium,Construct,0.13,15,5,"30, fly 30",LN,1,13,12,4,10,5,None,None,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration",Monster Manual,Wizards of the Coast
Neogi Hatchling,Tiny,Aberration,0.13,11,7,"20, climb 20",LE,3,13,10,6,10,9,None,None,None,Darkvision 60,None,"Mental Fortitude, Spider Climb",Volo's Guide to Monsters,Wizards of the Coast
"NPC, Bandit",Medium,Humanoid,0.13,12,11,30,NOT LAWFUL,11,12,12,10,10,10,None,None,None,Normal,Any,None,Monster Manual,Wizards of the Coast
"NPC, Cultist",Medium,Humanoid,0.13,12,9,30,NOT GOOD,11,12,10,10,11,10,None,"Deception, Religion",None,Normal,Any,Dark Devotion,Monster Manual,Wizards of the Coast
"NPC, Guard",Medium,Humanoid,0.13,16,11,30,ANY,13,12,12,10,11,10,None,Perception,None,Normal,Any,None,Monster Manual,Wizards of the Coast
"NPC, Noble",Medium,Humanoid,0.13,15,9,30,ANY,11,12,11,12,14,16,None,"Deception, Insight, Persuasion",None,Normal,Any,None,Monster Manual,Wizards of the Coast
"NPC, Tribal Warrior",Medium,Humanoid,0.13,12,11,30,ANY,13,11,12,8,11,8,None,None,None,Normal,Any,Pack Tactics,Monster Manual,Wizards of the Coast
Slaad Tadpole,Tiny,Aberration,0.13,12,10,30,CN,7,15,10,3,5,3,None,Stealth,"Acidres, coldres, fireres, lightningres, thunderres",Darkvision 60,Own,Magic Resistance,Monster Manual,Wizards of the Coast
Stirge,Tiny,Beast,0.13,14,2,"10, fly 40",U,4,16,11,2,8,6,None,None,None,Darkvision 60,None,None,Monster Manual,Wizards of the Coast
Xvart,Small,Humanoid (Xvart),0.13,13,7,30,CE,8,14,10,8,7,7,None,Stealth,None,Darkvision 30,Abyssal,"Low Cunning, Overbearing Pack, Raxivort's Tongue",Volo's Guide to Monsters,Wizards of the Coast
Xvart Speaker,Small,Humanoid (Xvart),0.13,13,7,30,CE,8,14,10,13,7,7,None,Stealth,None,Darkvision 30,"Abyssal, Any","Low Cunning, Overbearing Pack, Raxivort's Tongue",Volo's Guide to Monsters,Wizards of the Coast
"Zuggtmoy, Bridesmaid",Medium,Plant,0.13,13,22,20,CE,14,11,11,14,8,18,None,None,None,Darkvision 60,Abyssal,Fungus Stride,Out of the Abyss,Wizards of the Coast
Aarakocra,Medium,Humanoid,0.25,12,13,"20, 50 fly",NG,10,14,10,11,12,11,None,Perception,None,Normal,Auran,Dive Attack,Monster Manual,Wizards of the Coast
Albino Dwarf Warrior,Medium,Humanoid (Dwarf),0.25,13,30,25,ANY,13,13,17,12,14,11,None,"Perception, Stealth, Survival",Poisonres,Darkvision 60,"Common, Dwarvish",Dwarven Resilience,Tomb of Annihilation,Wizards of the Coast
"Animated Object, Broom of Attack",Small,Construct,0.25,15,17,50 fly,U,10,17,10,1,5,1,None,None,"Poisonimmu, psychicimmu, blindedimmu, charmedimmu deafenedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonimmu, proneimmu",Blindsight 30,None,"False, None",Curse of Strahd,Wizards of the Coast
"Animated Object, Flying Sword",Small,Construct,0.25,17,17,50 fly,U,12,15,11,1,5,1,DEX,None,"Coldres, fireres, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu paralyzedimmu, petrifiedimmu, poisonimmu",Blindsight 60,None,"Antimagic, False",Monster Manual,Wizards of the Coast
"Assorted Beast, Cattle",Large,Beast,0.25,10,15,30,U,18,10,14,2,10,4,None,None,None,Normal,None,Charge,Volo's Guide to Monsters,Wizards of the Coast
"Blight, Needle",Medium,Plant,0.25,12,11,30,NE,12,12,13,4,8,3,None,None,"Blindedimmu, deafenedimmu",Blindsight 60,Common,None,Monster Manual,Wizards of the Coast
Bullywug,Medium,Humanoid,0.25,15,11,"20, swim 40",NE,12,12,13,7,10,7,None,Stealth,None,Normal,Own,"Amphibious, Speak with Frogs, Speak with Toads, Swamp Camouflage, Standing Leap",Monster Manual,Wizards of the Coast
"Demon, Abyssal Wretch",Medium,Fiend (Demon),0.25,11,18,20,CE,9,12,11,5,8,5,None,None,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,Abyssal,None,Mordenkainen's Tome of Foes,Wizards of the Coast
"Demon, Dretch",small,Fiend (Demon),0.25,11,18,20,CE,11,11,12,5,8,3,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 60,"Abyssal, telepathy 60",None,Monster Manual,Wizards of the Coast
Derro,Small,Humanoid (Derro),0.25,13,13,30,CE,10,14,12,11,5,9,None,Stealth,None,Darkvision 120,"Dwarvish, Undercommon","Magic Resistance, Sunlight Sensitivity",Mordenkainen's Tome of Foes,Wizards of the Coast
"Dinosaur, Dimetrodon",Medium,Beast,0.25,12,19,"30, swim 20",U,14,10,15,2,10,5,None,Perception,None,Normal,None,None,Volo's Guide to Monsters,Wizards of the Coast
"Dinosaur, Hadrosaurus",Large,Beast,0.25,11,19,40,U,15,10,13,2,10,5,None,Perception,None,Normal,None,None,Volo's Guide to Monsters,Wizards of the Coast
"Dinosaur, Pteranodon",Medium,Beast,0.25,13,13,"10, fly 60",U,12,15,10,2,9,5,None,Perception,None,Normal,None,Flyby,Monster Manual,Wizards of the Coast
"Dinosaur, Velociraptor",Tiny,Beast,0.25,13,10,30,U,6,14,13,4,12,6,None,Perception,None,Normal,None,Pack Tactics,Volo's Guide to Monsters,Wizards of the Coast
Drow,Medium,Humanoid,0.25,15,13,30,NE,10,14,10,11,11,12,None,"Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon","Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
"Fungus, Violet",Medium,Plant,0.25,5,18,5,U,3,1,10,1,3,1,None,None,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,None,False Appearance,Monster Manual,Wizards of the Coast
Geonid,Small,Elemental,0.25,17,26,30,N,12,10,16,9,14,11,None,"Perception, Stealth",None,"Darkvision 60, tremorsense 30",Terran,Boulder Guise,The Tortle Package,Wizards of the Coast
Gnoll Witherling,Medium,Undead,0.25,12,11,30,CE,14,8,12,5,5,5,None,None,"Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Gnoll,Rampage,Volo's Guide to Monsters,Wizards of the Coast
Goblin,small,Humanoid,0.25,15,7,30,NE,8,14,10,10,8,8,None,Stealth,None,Darkvision 60,"Common, Goblin",Nimble Escape,Monster Manual,Wizards of the Coast
Grimlock,Medium,Humanoid,0.25,11,11,30,NE,16,12,12,9,8,6,None,"Athletics, Perception, Stealth",Blindedimmu,Blindsight 30,Undercommon,"Blind Senses, Keen Hearing, Keen Smell, Stone Camouflage",Monster Manual,Wizards of the Coast
Grung,Small,Humanoid (Grung),0.25,12,11,"25, climb 25",LE,7,14,15,10,11,10,DEX,"Athletics, Perception, Stealth, Survival","Poisonimmu, poisonedimmu",Normal,Own,"Amphibious, Poisonous Skin, Standing Leap",Volo's Guide to Monsters,Wizards of the Coast
Ixitxachitl,Small,Aberration,0.25,15,18,swim 30,CE,12,16,13,12,13,7,None,None,None,Darkvision 60,"Abyssal, Own",None,Out of the Abyss,Wizards of the Coast
Kenku,Medium,Humanoid,0.25,13,13,30,CN,10,16,10,11,10,10,None,"Deception, Perception, Stealth",None,Normal,"Auran, Common","Ambusher, Mimicry",Monster Manual,Wizards of the Coast
Kobold Inventor,Small,Humanoid (Kobold),0.25,12,13,30,LE,7,15,12,8,7,8,None,Perception,None,Darkvision 60,"Common, Draconic","Pack Tactics, Sunlight Sensitivity",Volo's Guide to Monsters,Wizards of the Coast
"Kobold, Winged",Small,Humanoid,0.25,13,7,"30, fly 30",LE,7,16,9,8,7,8,None,None,None,Darkvision 60,"Common, Draconic","Sunlight Sensitivity, Pack Tactics",Monster Manual,Wizards of the Coast
Kuo-Toa,Medium,Humanoid,0.25,13,13,"30, swim 30",NE,13,10,11,11,10,8,None,Perception,None,Darkvision 120,Undercommon,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity",Monster Manual,Wizards of the Coast
"Mephit, Mud",Small,Elemental,0.25,11,27,"20, fly 20, swim 20",NE,8,12,12,9,11,7,None,Stealth,"Poisonimmu, poisonedimmu",Darkivision 60,"Aquan, Terran","Death Burst, False Appearance",Monster Manual,Wizards of the Coast
"Mephit, Smoke",Small,Elemental,0.25,12,22,"30, fly 30",NE,6,14,12,10,10,11,None,"Perception, Stealth","Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Auran, Ignan","Death Burst, Innate Spellcasting",Monster Manual,Wizards of the Coast
"Mephit, Steam",Small,Elemental,0.25,10,21,"30, fly 30",NE,5,11,10,11,10,12,None,None,"Fireimmu, poisonimmu, poisonedimmu",Darkvision 60,"Aquan, Ignan","Death Burst, Innate Spellcasting",Monster Manual,Wizards of the Coast
"Misc. Creature, Axe Beak",Large,Beast,0.25,11,19,50,U,14,12,12,2,10,5,None,None,None,Normal,None,None,Monster Manual,Wizards of the Coast
"Misc. Creature, Blink Dog",Medium,Fey,0.25,13,22,40,LG,12,17,12,10,13,11,None,"Perception, Stealth",None,Normal,"Own, Sylvan","Keen Hearing, Keen Smell, Pack Tactics",Monster Manual,Wizards of the Coast
